targetX,cueOri,congr,corrAns,posner_type,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,posner_task.thisRepN,posner_task.thisTrialN,posner_task.thisN,posner_task.thisIndex,fixation.started,fixation.stopped,cue.started,cue.stopped,target.started,target.stopped,correct_key_resp.keys,correct_key_resp.corr,correct_key_resp.rt,correct_key_resp.started,correct_key_resp.stopped,early_resp.keys,early_resp.started,early_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.5,180,1,right,6,0,0,0,0,0,0,0,5,7.188157600001432,None,7.58370429999195,8.283383599991794,8.783691100004944,None,right,1,0.30002070000045933,8.783691100004944,None,None,7.58370429999195,8.783691100004944,123123,001,2019_Nov_27_1914,posner,3.2.4,59.976453244950505,
-0.5,0,1,left,2,0,0,0,0,0,1,1,2,9.100068100000499,None,9.583323800005019,10.283344800001942,10.783417400001781,None,left,1,0.3003915000008419,10.783417400001781,None,None,9.583323800005019,10.783417400001781,123123,001,2019_Nov_27_1914,posner,3.2.4,59.976453244950505,
0.5,0,0,right,8,0,0,0,0,0,2,2,7,11.100206300005084,None,11.583436400003848,12.283846199992695,12.783753900002921,None,right,1,0.33359870000276715,12.783753900002921,None,None,11.583436400003848,12.783753900002921,123123,001,2019_Nov_27_1914,posner,3.2.4,59.976453244950505,
-0.5,0,1,left,2,0,0,0,0,0,3,3,1,13.13352030000533,None,13.616783000004943,14.317339100001846,14.817163500003517,None,left,1,0.31667110000853427,14.817163500003517,None,None,13.616783000004943,14.817163500003517,123123,001,2019_Nov_27_1914,posner,3.2.4,59.976453244950505,
-0.5,180,0,left,4,0,0,0,0,0,4,4,3,15.152572999999393,None,15.63344920000236,16.33388219999324,16.834006000004592,None,left,1,0.333083199991961,16.834006000004592,None,None,15.63344920000236,16.834006000004592,123123,001,2019_Nov_27_1914,posner,3.2.4,59.976453244950505,
0.5,180,1,right,6,0,0,0,0,0,5,5,6,17.183500500002992,None,17.667189400002826,18.36798729999282,18.867184100003215,None,right,1,0.31691930000670254,18.867184100003215,None,None,17.667189400002826,18.867184100003215,123123,001,2019_Nov_27_1914,posner,3.2.4,59.976453244950505,
0.5,180,1,right,6,0,0,0,0,0,6,6,4,19.2005508000002,None,19.683807499997783,20.38342840000405,20.884722000002512,None,right,1,0.31638429999293294,20.884722000002512,None,None,19.683807499997783,20.884722000002512,123123,001,2019_Nov_27_1914,posner,3.2.4,59.976453244950505,
-0.5,0,1,left,2,0,0,0,0,0,7,7,0,21.216758800001116,None,21.700341399991885,22.400574700004654,22.900109900001553,None,left,1,0.28368599999521393,22.900109900001553,None,None,21.700341399991885,22.900109900001553,123123,001,2019_Nov_27_1914,posner,3.2.4,59.976453244950505,
