targetX,cueOri,congr,corrAns,posner_type,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,posner_task.thisRepN,posner_task.thisTrialN,posner_task.thisN,posner_task.thisIndex,fixation.started,fixation.stopped,cue.started,cue.stopped,target.started,target.stopped,correct_key_resp.keys,correct_key_resp.corr,correct_key_resp.started,correct_key_resp.stopped,early_resp.keys,early_resp.started,early_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.5,180,1,right,6,0,0,0,0,0,0,0,5,8.218317399994703,None,8.639792200003285,9.339827599993441,None,None,None,0,None,None,None,8.639792200003285,None,123123,001,2019_Nov_27_1912,posner,3.2.4,59.995776298363275,
0.5,0,0,right,8,0,0,0,0,0,1,1,7,9.832507200000691,None,10.32378439999593,11.02348269999493,11.523523199997726,12.023897199993371,None,0,11.523523199997726,None,None,10.32378439999593,11.523523199997726,123123,001,2019_Nov_27_1912,posner,3.2.4,59.995776298363275,
0.5,180,1,right,6,0,0,0,0,0,2,2,4,12.524340899995877,None,13.007703900002525,13.707861500006402,14.207682599997497,14.707831699997769,None,0,14.207682599997497,None,None,13.007703900002525,14.207682599997497,123123,001,2019_Nov_27_1912,posner,3.2.4,59.995776298363275,
0.5,180,1,right,6,0,0,0,0,0,3,3,6,15.206780399996205,15.206780399996205,15.690668299997924,16.394183399999747,16.890469899997697,17.390794999999343,None,0,16.890469899997697,15.206780399996205,None,15.690668299997924,16.890469899997697,123123,001,2019_Nov_27_1912,posner,3.2.4,59.995776298363275,
-0.5,0,1,left,2,0,0,0,0,0,4,4,0,17.894397299998673,20.577536700002383,18.373498100001598,19.077494500001194,19.577758500003256,20.090355599997565,None,0,19.577758500003256,17.894397299998673,None,18.373498100001598,19.577758500003256,123123,001,2019_Nov_27_1912,posner,3.2.4,59.995776298363275,
-0.5,0,1,left,2,0,0,0,0,0,5,5,1,20.595174300004146,None,21.074284500005888,21.77413350000279,22.27355319999333,22.77414530000533,None,0,22.27355319999333,20.595174300004146,None,21.074284500005888,22.27355319999333,123123,001,2019_Nov_27_1912,posner,3.2.4,59.995776298363275,
-0.5,0,1,left,2,0,0,0,0,0,6,6,2,23.273544800002128,25.957532000000356,23.757431300007738,24.461917699998594,24.961057099993923,25.45771469999454,None,0,24.961057099993923,23.273544800002128,None,23.757431300007738,24.961057099993923,123123,001,2019_Nov_27_1912,posner,3.2.4,59.995776298363275,
-0.5,180,0,left,4,0,0,0,0,0,7,7,3,25.977705299999798,None,26.457659599996987,27.156844299999648,27.658441299994593,28.177692500001285,None,0,27.658441299994593,25.977705299999798,None,26.457659599996987,27.658441299994593,123123,001,2019_Nov_27_1912,posner,3.2.4,59.995776298363275,
