targetX,cueOri,congr,corrAns,posner_type,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,posner_task.thisRepN,posner_task.thisTrialN,posner_task.thisN,posner_task.thisIndex,fixation.started,fixation.stopped,cue.started,cue.stopped,target.started,target.stopped,correct_key_resp.keys,correct_key_resp.corr,correct_key_resp.rt,correct_key_resp.started,correct_key_resp.stopped,early_resp.keys,early_resp.started,early_resp.stopped,break_text.started,break_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.5,180,1,right,6,0,0,0,0,0,0,0,5,6.455172499991022,None,6.891301800002111,7.591304100002162,8.091258400003426,None,right,1,0.33362530000158586,8.091258400003426,None,None,6.891301800002111,8.091258400003426,,,123123,001,2019_Nov_27_2004,posner,3.2.4,60.008269141326515,
0.5,180,1,right,6,0,0,0,0,0,1,1,4,8.44125940000231,None,8.92465159999847,9.62469609999971,10.124609199992847,None,right,1,0.3512785999919288,10.124609199992847,None,None,8.92465159999847,10.124609199992847,,,123123,001,2019_Nov_27_2004,posner,3.2.4,60.008269141326515,
-0.5,0,1,left,2,0,0,0,0,0,2,2,0,10.491519299990614,None,10.974680100000114,11.674692500004312,12.174821799999336,None,left,1,0.21690170001238585,12.174821799999336,None,None,10.974680100000114,12.174821799999336,,,123123,001,2019_Nov_27_2004,posner,3.2.4,60.008269141326515,
0.5,0,0,right,8,0,0,0,0,0,3,3,7,12.40811340000073,None,12.891407999995863,13.59142489999067,14.091368900000816,None,right,1,0.2837178000045242,14.091368900000816,None,None,12.891407999995863,14.091368900000816,,,123123,001,2019_Nov_27_2004,posner,3.2.4,60.008269141326515,
-0.5,180,0,left,4,0,0,0,0,0,4,4,3,14.391382100002375,None,14.874804899998708,15.574858599997242,16.07470349999494,None,left,1,0.300384700007271,16.07470349999494,None,None,14.874804899998708,16.07470349999494,,,123123,001,2019_Nov_27_2004,posner,3.2.4,60.008269141326515,
0.5,180,1,right,6,0,0,0,0,0,5,5,6,16.391347900003893,None,16.87478270000429,17.57491630000004,18.074676399992313,None,right,1,0.23376390000339597,18.074676399992313,None,None,16.87478270000429,18.074676399992313,,,123123,001,2019_Nov_27_2004,posner,3.2.4,60.008269141326515,
-0.5,0,1,left,2,0,0,0,0,0,6,6,2,18.324726399994688,None,18.808297700001276,19.508277100001578,20.008054399993853,None,left,1,0.2173241999989841,20.008054399993853,None,None,18.808297700001276,20.008054399993853,,,123123,001,2019_Nov_27_2004,posner,3.2.4,60.008269141326515,
-0.5,0,1,left,2,0,0,0,0,0,7,7,1,20.241453900001943,None,20.72593549999874,21.441376000002492,21.92473830000381,None,left,1,0.3014186999935191,21.92473830000381,None,None,20.72593549999874,21.92473830000381,,,123123,001,2019_Nov_27_2004,posner,3.2.4,60.008269141326515,
,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,22.241375400000834,None,123123,001,2019_Nov_27_2004,posner,3.2.4,60.008269141326515,
-0.5,0,1,left,2,1,0,1,0,0,0,0,2,33.47492449999845,None,33.9580363999994,34.65808529999049,35.15812910000386,None,left,1,0.23368289999780245,35.15812910000386,None,None,33.9580363999994,35.15812910000386,,,123123,001,2019_Nov_27_2004,posner,3.2.4,60.008269141326515,
-0.5,180,0,left,4,1,0,1,0,0,1,1,3,35.40823939999973,None,35.8913950999995,36.591408799999044,37.091628199996194,None,left,1,0.48358189999999013,37.091628199996194,None,None,35.8913950999995,37.091628199996194,,,123123,001,2019_Nov_27_2004,posner,3.2.4,60.008269141326515,
-0.5,0,1,left,2,1,0,1,0,0,2,2,0,37.59154049999779,None,38.07478059999994,38.77495310000086,39.274765399997705,37.59154049999779,left,1,0.25038389999826904,39.274765399997705,None,None,38.07478059999994,39.274765399997705,,,123123,001,2019_Nov_27_2004,posner,3.2.4,60.008269141326515,
0.5,180,1,right,6,1,0,1,0,0,3,3,4,39.54152759999852,None,40.02475189999677,40.72486289999506,41.22475330000452,None,right,1,0.31709419999970123,41.22475330000452,None,None,40.02475189999677,41.22475330000452,,,123123,001,2019_Nov_27_2004,posner,3.2.4,60.008269141326515,
0.5,180,1,right,6,1,0,1,0,0,4,4,6,41.55807919999643,None,42.04143739999563,42.741411099996185,43.24161539999477,None,right,1,0.2505120999994688,43.24161539999477,None,None,42.04143739999563,43.24161539999477,,,123123,001,2019_Nov_27_2004,posner,3.2.4,60.008269141326515,
0.5,180,1,right,6,1,0,1,0,0,5,5,5,43.50811919999251,None,43.991455499999574,44.6915469999949,45.19140100000368,None,right,1,0.2676567000016803,45.19140100000368,None,None,43.991455499999574,45.19140100000368,,,123123,001,2019_Nov_27_2004,posner,3.2.4,60.008269141326515,
0.5,0,0,right,8,1,0,1,0,0,6,6,7,45.47470969999267,None,45.95809549999831,46.65817470000184,47.15830090000236,None,right,1,0.3026081999996677,47.15830090000236,None,None,45.95809549999831,47.15830090000236,,,123123,001,2019_Nov_27_2004,posner,3.2.4,60.008269141326515,
-0.5,0,1,left,2,1,0,1,0,0,7,7,1,47.47479609999573,None,47.958086400001775,48.65809709999303,49.15833589999238,None,left,1,0.26680759999726433,49.15833589999238,None,None,47.958086400001775,49.15833589999238,,,123123,001,2019_Nov_27_2004,posner,3.2.4,60.008269141326515,
