16.1521 	EXP 	fixation: autoDraw = True
16.6355 	EXP 	cue: autoDraw = True
17.3373 	EXP 	cue: autoDraw = False
17.8360 	EXP 	target: autoDraw = True
18.1032 	DATA 	Keypress: right
18.1050 	EXP 	New trial (rep=0, index=6): OrderedDict([('targetX', -0.5), ('cueOri', 0), ('congr', 1), ('corrAns', 'left'), ('posner_type', 2)])
18.1193 	EXP 	fixation: autoDraw = False
18.1193 	EXP 	cue: autoDraw = False
18.1193 	EXP 	target: autoDraw = False
18.1193 	EXP 	cue: ori = 0.0
18.1193 	EXP 	target: pos = array([-0.5,  0. ])
18.1193 	EXP 	fixation: autoDraw = True
18.6021 	EXP 	cue: autoDraw = True
19.3028 	EXP 	cue: autoDraw = False
19.8022 	EXP 	target: autoDraw = True
19.9901 	DATA 	Keypress: left
19.9913 	EXP 	New trial (rep=0, index=7): OrderedDict([('targetX', -0.5), ('cueOri', 0), ('congr', 1), ('corrAns', 'left'), ('posner_type', 2)])
20.0026 	EXP 	fixation: autoDraw = False
20.0026 	EXP 	cue: autoDraw = False
20.0026 	EXP 	target: autoDraw = False
20.0026 	EXP 	cue: ori = 0.0
20.0026 	EXP 	target: pos = array([-0.5,  0. ])
20.0026 	EXP 	fixation: autoDraw = True
20.4860 	EXP 	cue: autoDraw = True
21.1869 	EXP 	cue: autoDraw = False
21.6860 	EXP 	target: autoDraw = True
21.9032 	DATA 	Keypress: left
21.9193 	EXP 	fixation: autoDraw = False
21.9193 	EXP 	cue: autoDraw = False
21.9193 	EXP 	target: autoDraw = False
21.9193 	EXP 	break_text: autoDraw = True
23.3046 	DATA 	Keypress: escape
23.4622 	EXP 	window1: mouseVisible = True
