targetX,cueOri,congr,corrAns,posner_type,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,posner_task.thisRepN,posner_task.thisTrialN,posner_task.thisN,posner_task.thisIndex,fixation_1.started,fixation_1.stopped,fixation_2.started,fixation_2.stopped,cue.started,cue.stopped,target.started,target.stopped,correct_key_resp.keys,correct_key_resp.corr,correct_key_resp.rt,correct_key_resp.started,correct_key_resp.stopped,early_resp.keys,early_resp.started,early_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.5,180,1,right,6,0,0,0,0,0,0,0,4,5.9079236999969,6.421538199996576,7.038135299997521,None,6.338198500001454,7.038135299997521,7.537914600005024,None,right,1,0.4336665000009816,7.537914600005024,None,None,6.338198500001454,7.537914600005024,123123,001,2019_Nov_27_2039,posner,3.2.3,59.98551949706344,
0.5,180,1,right,6,0,0,0,0,0,1,1,6,7.987831500009634,8.488288799999282,9.171411300005275,None,8.471446299998206,9.171411300005275,9.67149320000317,None,right,1,0.33432860000175424,9.67149320000317,None,None,8.471446299998206,9.67149320000317,123123,001,2019_Nov_27_2039,posner,3.2.3,59.98551949706344,
0.5,180,1,right,6,0,0,0,0,0,2,2,5,10.02119230000244,10.521580600005109,11.20547830000578,None,10.504993800001102,11.20547830000578,11.705271800004994,None,right,1,0.26758880000852514,11.705271800004994,None,None,10.504993800001102,11.705271800004994,123123,001,2019_Nov_27_2039,posner,3.2.3,59.98551949706344,
0.5,0,0,right,8,0,0,0,0,0,3,3,7,11.989028800002416,12.488481100008357,13.172250400006305,None,12.472191399996518,13.172250400006305,13.67179780000879,None,right,1,0.2839611999952467,13.67179780000879,None,None,12.472191399996518,13.67179780000879,123123,001,2019_Nov_27_2039,posner,3.2.3,59.98551949706344,
-0.5,0,1,left,2,0,0,0,0,0,4,4,0,13.971716800006106,14.471550400005071,15.155022699997062,None,14.455637100007152,15.155022699997062,15.654690199997276,None,left,1,0.2849722999962978,15.654690199997276,None,None,14.455637100007152,15.654690199997276,123123,001,2019_Nov_27_2039,posner,3.2.3,59.98551949706344,
-0.5,180,0,left,4,0,0,0,0,0,5,5,3,15.95468080000137,16.45472530000552,17.138353600006667,None,16.43834950000746,17.138353600006667,17.638602400009404,None,left,1,0.2703572000027634,17.638602400009404,None,None,16.43834950000746,17.638602400009404,123123,001,2019_Nov_27_2039,posner,3.2.3,59.98551949706344,
-0.5,0,1,left,2,0,0,0,0,0,6,6,1,17.92172530000971,18.42134860000806,19.105034899999737,None,18.40493740000238,19.105034899999737,19.60654290000093,None,left,1,0.2830997999990359,19.60654290000093,None,None,18.40493740000238,19.60654290000093,123123,001,2019_Nov_27_2039,posner,3.2.3,59.98551949706344,
-0.5,0,1,left,2,0,0,0,0,0,7,7,2,19.905025700005353,20.405151900005876,21.0879588000098,None,20.388382400007686,21.0879588000098,21.589340999998967,None,left,1,0.23310909999418072,21.589340999998967,None,None,20.388382400007686,21.589340999998967,123123,001,2019_Nov_27_2039,posner,3.2.3,59.98551949706344,
