targetX,cueOri,congr,corrAns,posner_type,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,posner_task.thisRepN,posner_task.thisTrialN,posner_task.thisN,posner_task.thisIndex,fixation.started,fixation.stopped,cue.started,cue.stopped,target.started,target.stopped,correct_key_resp.keys,correct_key_resp.corr,correct_key_resp.started,correct_key_resp.stopped,early_resp.keys,early_resp.started,early_resp.stopped,correct_key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0.5,180,1,right,6,0,0,0,0,0,0,0,6,8.655106799997156,None,9.08495319999929,9.784936900003231,None,None,None,0,None,None,None,9.08495319999929,None,,123123,001,2019_Nov_27_2002,posner,3.2.4,59.96864838925864,
-0.5,0,1,left,2,0,0,0,0,0,1,1,0,10.285067599994363,None,10.768286299993633,11.468284799993853,11.968444199999794,None,left,1,11.968444199999794,None,None,10.768286299993633,11.968444199999794,0.28354899999976624,123123,001,2019_Nov_27_2002,posner,3.2.4,59.96864838925864,
0.5,0,0,right,8,0,0,0,0,0,2,2,7,12.268356000000495,None,12.751732199991238,13.451670299997204,13.951692699993146,None,right,1,13.951692699993146,None,None,12.751732199991238,13.951692699993146,0.33391699999629054,123123,001,2019_Nov_27_2002,posner,3.2.4,59.96864838925864,
-0.5,0,1,left,2,0,0,0,0,0,3,3,1,14.301762000002782,None,14.785002999997232,15.484956799991778,15.985081599996192,None,left,1,15.985081599996192,None,None,14.785002999997232,15.985081599996192,0.3004842000082135,123123,001,2019_Nov_27_2002,posner,3.2.4,59.96864838925864,
0.5,180,1,right,6,0,0,0,0,0,4,4,5,16.301701399992453,None,16.784969999993336,17.48495030000049,17.985045299996273,None,right,1,17.985045299996273,None,None,16.784969999993336,17.985045299996273,0.3005089000071166,123123,001,2019_Nov_27_2002,posner,3.2.4,59.96864838925864,
-0.5,180,0,left,4,0,0,0,0,0,5,5,3,18.301741399991442,None,18.78499770000053,19.484963199996855,19.985063400003128,None,left,1,19.985063400003128,None,None,18.78499770000053,19.985063400003128,0.2504176000074949,123123,001,2019_Nov_27_2002,posner,3.2.4,59.96864838925864,
0.5,180,1,right,6,0,0,0,0,0,6,6,4,20.251674999992247,None,20.735208099999,21.43502720000106,21.93506350000098,None,right,1,21.93506350000098,None,None,20.735208099999,21.93506350000098,0.23366399999940768,123123,001,2019_Nov_27_2002,posner,3.2.4,59.96864838925864,
-0.5,0,1,left,2,0,0,0,0,0,7,7,2,22.185194599995157,None,22.668547900000704,23.36834020000242,23.868393099997775,None,left,1,23.868393099997775,None,None,22.668547900000704,23.868393099997775,0.2678530999983195,123123,001,2019_Nov_27_2002,posner,3.2.4,59.96864838925864,
-0.5,0,1,left,2,0,0,0,0,1,0,8,0,24.15170269999362,None,24.635070599993924,25.335050499998033,25.835060299999896,None,left,1,25.835060299999896,None,None,24.635070599993924,25.835060299999896,0.3008687999972608,123123,001,2019_Nov_27_2002,posner,3.2.4,59.96864838925864,
0.5,180,1,right,6,0,0,0,0,1,1,9,4,26.15178030000243,None,26.63501099999121,27.335049000001163,27.835215799990692,None,right,1,27.835215799990692,None,None,26.63501099999121,27.835215799990692,0.23373130000254605,123123,001,2019_Nov_27_2002,posner,3.2.4,59.96864838925864,
