targetX,cueOri,congr,corrAns,posner_type,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,posner_task.thisRepN,posner_task.thisTrialN,posner_task.thisN,posner_task.thisIndex,fixation.started,fixation.stopped,cue.started,cue.stopped,target.started,target.stopped,correct_key_resp.keys,correct_key_resp.corr,correct_key_resp.rt,correct_key_resp.started,correct_key_resp.stopped,early_resp.keys,early_resp.started,early_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.5,180,1,right,6,0,0,0,0,0,0,0,4,6.593289199998253,None,7.02939699999115,7.729318999990937,8.229264900000999,None,right,1,0.25050090000149794,8.229264900000999,None,None,7.02939699999115,8.229264900000999,123123,001,2019_Nov_27_1908,posner,3.2.4,60.025883160496875,
-0.5,180,0,left,4,0,0,0,0,0,1,1,3,8.495925700000953,None,8.979389299987815,9.679324999990058,10.179410400000052,None,left,1,0.3008084000030067,10.179410400000052,None,None,8.979389299987815,10.179410400000052,123123,001,2019_Nov_27_1908,posner,3.2.4,60.025883160496875,
-0.5,0,1,left,2,0,0,0,0,0,2,2,2,10.496138099988457,None,10.97940959999687,11.679430799995316,12.179381499998271,None,left,1,0.3679690999997547,12.179381499998271,None,None,10.97940959999687,12.179381499998271,123123,001,2019_Nov_27_1908,posner,3.2.4,60.025883160496875,
-0.5,0,1,left,2,0,0,0,0,0,3,3,1,12.562788499999442,None,13.046052899997449,13.746103599987691,14.246376499999315,None,left,1,0.35037430000375025,14.246376499999315,None,None,13.046052899997449,14.246376499999315,123123,001,2019_Nov_27_1908,posner,3.2.4,60.025883160496875,
0.5,0,0,right,8,0,0,0,0,0,4,4,7,14.61282549999305,None,15.096270899986848,15.796076300001005,16.2961123999994,None,right,1,0.48563450000074226,16.2961123999994,None,None,15.096270899986848,16.2961123999994,123123,001,2019_Nov_27_1908,posner,3.2.4,60.025883160496875,
0.5,180,1,right,6,0,0,0,0,0,5,5,5,16.796142499995767,None,17.279464999999618,17.979430799998227,18.479677600000286,16.796142499995767,right,1,0.3836016999994172,18.479677600000286,None,None,17.279464999999618,18.479677600000286,123123,001,2019_Nov_27_1908,posner,3.2.4,60.025883160496875,
0.5,180,1,right,6,0,0,0,0,0,6,6,6,18.87942949999706,None,19.362808699996094,20.062853199997335,20.562826399996993,None,right,1,0.400163700003759,20.562826399996993,None,None,19.362808699996094,20.562826399996993,123123,001,2019_Nov_27_1908,posner,3.2.4,60.025883160496875,
-0.5,0,1,left,2,0,0,0,0,0,7,7,0,20.979542599990964,None,21.46278239999083,22.162767899993923,22.66275069999392,None,left,1,0.3518019000039203,22.66275069999392,None,None,21.46278239999083,22.66275069999392,123123,001,2019_Nov_27_1908,posner,3.2.4,60.025883160496875,
