targetX,cueOri,congr,corrAns,posner_type,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,posner_task.thisRepN,posner_task.thisTrialN,posner_task.thisN,posner_task.thisIndex,fixation.started,fixation.stopped,cue.started,cue.stopped,target.started,target.stopped,correct_key_resp.keys,correct_key_resp.corr,correct_key_resp.started,correct_key_resp.stopped,early_resp.keys,early_resp.rt,early_resp.started,early_resp.stopped,correct_key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0.5,180,1,right,6,0,0,0,0,0,0,0,5,7.0568702000018675,None,7.4915146000130335,8.19196660000307,8.691965400008485,9.191803100009565,None,0,8.691965400008485,None,right,0.8676934999966761,7.4915146000130335,8.691965400008485,,123123,001,2019_Nov_27_2009,posner,3.2.4,59.98850620547813,
0.5,180,1,right,6,0,0,0,0,0,1,1,6,9.491937100014184,None,9.975692100008018,10.676334000003408,11.175693100012722,None,right,1,11.175693100012722,None,None,,9.975692100008018,11.175693100012722,0.3337636000069324,123123,001,2019_Nov_27_2009,posner,3.2.4,59.98850620547813,
-0.5,180,0,left,4,0,0,0,0,0,2,2,3,11.525161500001559,None,12.008768500003498,12.708714300009888,13.20938460000616,None,left,1,13.20938460000616,None,None,,12.008768500003498,13.20938460000616,0.33362010000564624,123123,001,2019_Nov_27_2009,posner,3.2.4,59.98850620547813,
-0.5,0,1,left,2,0,0,0,0,0,3,3,1,13.559108900008141,None,14.042531900005997,14.742132800005493,15.24217770001269,None,left,1,15.24217770001269,None,None,,14.042531900005997,15.24217770001269,0.2674935000104597,123123,001,2019_Nov_27_2009,posner,3.2.4,59.98850620547813,
-0.5,0,1,left,2,0,0,0,0,0,4,4,2,15.525432200010982,None,16.008372500000405,16.708794800011674,17.20880730000499,None,left,1,17.20880730000499,None,None,,16.008372500000405,17.20880730000499,0.31720469999709167,123123,001,2019_Nov_27_2009,posner,3.2.4,59.98850620547813,
0.5,180,1,right,6,0,0,0,0,0,5,5,4,17.54215030001069,None,18.02539570000954,18.72608070001297,19.22661360001075,None,right,1,19.22661360001075,None,None,,18.02539570000954,19.22661360001075,0.24879839998902753,123123,001,2019_Nov_27_2009,posner,3.2.4,59.98850620547813,
0.5,0,0,right,8,0,0,0,0,0,6,6,7,19.491727400003583,None,19.975405200006207,20.675570800012792,21.17560940000112,None,right,1,21.17560940000112,None,None,,19.975405200006207,21.17560940000112,0.3337891999981366,123123,001,2019_Nov_27_2009,posner,3.2.4,59.98850620547813,
-0.5,0,1,left,2,0,0,0,0,0,7,7,0,21.52560710000398,None,22.00885300000664,22.708459900008165,23.208854300013627,None,left,1,23.208854300013627,None,None,,22.00885300000664,23.208854300013627,0.25037380000867415,123123,001,2019_Nov_27_2009,posner,3.2.4,59.98850620547813,
