targetX,cueOri,congr,corrAns,posner_type,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,posner_task.thisRepN,posner_task.thisTrialN,posner_task.thisN,posner_task.thisIndex,fixation.started,fixation.stopped,cue.started,cue.stopped,target.started,target.stopped,correct_key_resp.keys,correct_key_resp.corr,correct_key_resp.rt,correct_key_resp.started,correct_key_resp.stopped,early_resp.keys,early_resp.started,early_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
-0.5,0,1,left,2,0,0,0,0,0,0,0,0,7.368600699992385,None,7.787717500003055,8.487975600000937,8.98773049999727,None,left,1,0.3835846999863861,8.98773049999727,None,None,7.787717500003055,8.98773049999727,123123,001,2019_Nov_27_2006,posner,3.2.4,59.9945884853263,
-0.5,0,1,left,2,0,0,0,0,0,1,1,2,9.387851799998316,None,9.870970899995882,10.570982100005494,11.070987500002957,None,left,1,0.35065079999912996,11.070987500002957,None,None,9.870970899995882,11.070987500002957,123123,001,2019_Nov_27_2006,posner,3.2.4,59.9945884853263,
0.5,180,1,right,6,0,0,0,0,0,2,2,5,11.43750739999814,None,11.92116860000533,12.621234999998705,13.12132799999381,None,right,1,0.30039590000524186,13.12132799999381,None,None,11.92116860000533,13.12132799999381,123123,001,2019_Nov_27_2006,posner,3.2.4,59.9945884853263,
0.5,180,1,right,6,0,0,0,0,0,3,3,4,13.437754600003245,None,13.921267700003227,14.621713300002739,15.121039199992083,None,right,1,0.3175296999979764,15.121039199992083,None,None,13.921267700003227,15.121039199992083,123123,001,2019_Nov_27_2006,posner,3.2.4,59.9945884853263,
0.5,0,0,right,8,0,0,0,0,0,4,4,7,15.454935799993109,None,15.938113099997281,16.63776009999856,17.137699099999736,17.638126599995303,right,1,0.7842811000009533,17.137699099999736,None,None,15.938113099997281,17.137699099999736,123123,001,2019_Nov_27_2006,posner,3.2.4,59.9945884853263,
-0.5,180,0,left,4,0,0,0,0,0,5,5,3,17.937959200004116,None,18.421795599992038,19.121440100003383,19.621486200005165,None,left,1,0.2836632000107784,19.621486200005165,None,None,18.421795599992038,19.621486200005165,123123,001,2019_Nov_27_2006,posner,3.2.4,59.9945884853263,
0.5,180,1,right,6,0,0,0,0,0,6,6,6,19.92139980000502,None,20.404821499992977,21.10486750000564,21.604524099995615,None,right,1,0.31942759999947157,21.604524099995615,None,None,20.404821499992977,21.604524099995615,123123,001,2019_Nov_27_2006,posner,3.2.4,59.9945884853263,
-0.5,0,1,left,2,0,0,0,0,0,7,7,1,21.937649999992573,None,22.421107999995,23.121083299993188,23.62138640000194,None,left,1,0.26714820000051986,23.62138640000194,None,None,22.421107999995,23.62138640000194,123123,001,2019_Nov_27_2006,posner,3.2.4,59.9945884853263,
