6.0627 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
7.4522 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000025964B31C88>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000259649EE978>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.4523 	EXP 	window1: recordFrameIntervals = False
7.6156 	EXP 	window1: recordFrameIntervals = True
7.7987 	EXP 	window1: recordFrameIntervals = False
8.2041 	EXP 	Created fixation = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='fixation', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
8.2801 	EXP 	Created cue = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='images/arrow-left.png', interpolate=True, mask=None, maskParams=None, name='cue', opacity=1.0, ori=1.0, pos=array([0., 0.]), size=array([0.2, 0.2]), texRes=128, units='height', win=Window(...))
8.2966 	EXP 	Created target = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='images/circle_red.png', interpolate=True, mask=None, maskParams=None, name='target', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.2, 0.2]), texRes=128, units='height', win=Window(...))
8.3200 	EXP 	Sound sound_1 set volume 1.000
8.3218 	EXP 	Created sequence: random, trialTypes=8, nReps=1, seed=None
8.3226 	EXP 	New trial (rep=0, index=0): {'targetX': 0.5, 'cueOri': 180, 'congr': 1, 'corrAns': 'right'}
8.4269 	EXP 	cue: ori = 180.0
8.4269 	EXP 	target: pos = array([0.5, 0. ])
8.4269 	EXP 	fixation: autoDraw = True
9.3152 	EXP 	cue: autoDraw = True
9.4322 	EXP 	fixation: autoDraw = False
9.8152 	EXP 	cue: autoDraw = False
9.8152 	EXP 	target: autoDraw = True
10.3721 	EXP 	New trial (rep=0, index=1): {'targetX': 0.5, 'cueOri': 0, 'congr': 0, 'corrAns': 'right'}
10.3749 	DATA 	Keypress: right
10.3819 	EXP 	fixation: autoDraw = False
10.3819 	EXP 	cue: autoDraw = False
10.3819 	EXP 	target: autoDraw = False
10.3819 	EXP 	cue: ori = 0.0
10.3819 	EXP 	target: pos = array([0.5, 0. ])
10.3819 	EXP 	fixation: autoDraw = True
11.3656 	EXP 	cue: autoDraw = True
11.3824 	EXP 	fixation: autoDraw = False
11.6349 	DATA 	Keypress: left
11.8659 	EXP 	cue: autoDraw = False
11.8659 	EXP 	target: autoDraw = True
12.3034 	DATA 	Keypress: right
12.3206 	EXP 	New trial (rep=0, index=2): {'targetX': 0.5, 'cueOri': 180, 'congr': 1, 'corrAns': 'right'}
12.3324 	EXP 	fixation: autoDraw = False
12.3324 	EXP 	cue: autoDraw = False
12.3324 	EXP 	target: autoDraw = False
12.3324 	EXP 	cue: ori = 180.0
12.3324 	EXP 	target: pos = array([0.5, 0. ])
12.3324 	EXP 	fixation: autoDraw = True
13.3174 	EXP 	cue: autoDraw = True
13.3342 	EXP 	fixation: autoDraw = False
13.8175 	EXP 	cue: autoDraw = False
13.8175 	EXP 	target: autoDraw = True
14.0393 	EXP 	New trial (rep=0, index=3): {'targetX': -0.5, 'cueOri': 0, 'congr': 1, 'corrAns': 'left'}
14.0424 	DATA 	Keypress: right
14.0509 	EXP 	fixation: autoDraw = False
14.0509 	EXP 	cue: autoDraw = False
14.0509 	EXP 	target: autoDraw = False
14.0509 	EXP 	cue: ori = 0.0
14.0509 	EXP 	target: pos = array([-0.5,  0. ])
14.0509 	EXP 	fixation: autoDraw = True
15.0341 	EXP 	cue: autoDraw = True
15.0510 	EXP 	fixation: autoDraw = False
15.5344 	EXP 	cue: autoDraw = False
15.5344 	EXP 	target: autoDraw = True
15.7551 	EXP 	New trial (rep=0, index=4): {'targetX': 0.5, 'cueOri': 180, 'congr': 1, 'corrAns': 'right'}
15.7578 	DATA 	Keypress: left
15.7672 	EXP 	fixation: autoDraw = False
15.7672 	EXP 	cue: autoDraw = False
15.7672 	EXP 	target: autoDraw = False
15.7672 	EXP 	cue: ori = 180.0
15.7672 	EXP 	target: pos = array([0.5, 0. ])
15.7672 	EXP 	fixation: autoDraw = True
16.7498 	EXP 	cue: autoDraw = True
16.7674 	EXP 	fixation: autoDraw = False
17.2508 	EXP 	cue: autoDraw = False
17.2508 	EXP 	target: autoDraw = True
17.3220 	EXP 	New trial (rep=0, index=5): {'targetX': -0.5, 'cueOri': 180, 'congr': 0, 'corrAns': 'left'}
17.3253 	DATA 	Keypress: right
17.3347 	EXP 	fixation: autoDraw = False
17.3347 	EXP 	cue: autoDraw = False
17.3347 	EXP 	target: autoDraw = False
17.3347 	EXP 	cue: ori = 180.0
17.3347 	EXP 	target: pos = array([-0.5,  0. ])
17.3347 	EXP 	fixation: autoDraw = True
18.3174 	EXP 	cue: autoDraw = True
18.3337 	EXP 	fixation: autoDraw = False
18.8176 	EXP 	cue: autoDraw = False
18.8176 	EXP 	target: autoDraw = True
19.0897 	EXP 	New trial (rep=0, index=6): {'targetX': -0.5, 'cueOri': 0, 'congr': 1, 'corrAns': 'left'}
19.0925 	DATA 	Keypress: right
19.1027 	EXP 	fixation: autoDraw = False
19.1027 	EXP 	cue: autoDraw = False
19.1027 	EXP 	target: autoDraw = False
19.1027 	EXP 	cue: ori = 0.0
19.1027 	EXP 	target: pos = array([-0.5,  0. ])
19.1027 	EXP 	fixation: autoDraw = True
19.2529 	DATA 	Keypress: left
20.0842 	EXP 	cue: autoDraw = True
20.1174 	EXP 	fixation: autoDraw = False
20.5843 	EXP 	cue: autoDraw = False
20.5843 	EXP 	target: autoDraw = True
20.8382 	DATA 	Keypress: left
20.8552 	EXP 	New trial (rep=0, index=7): {'targetX': -0.5, 'cueOri': 0, 'congr': 1, 'corrAns': 'left'}
20.8668 	EXP 	fixation: autoDraw = False
20.8668 	EXP 	cue: autoDraw = False
20.8668 	EXP 	target: autoDraw = False
20.8668 	EXP 	cue: ori = 0.0
20.8668 	EXP 	target: pos = array([-0.5,  0. ])
20.8668 	EXP 	fixation: autoDraw = True
21.8507 	EXP 	cue: autoDraw = True
21.8664 	EXP 	fixation: autoDraw = False
22.3510 	EXP 	cue: autoDraw = False
22.3510 	EXP 	target: autoDraw = True
22.6731 	EXP 	Created sequence: random, trialTypes=8, nReps=1, seed=None
22.6738 	EXP 	New trial (rep=0, index=0): {'targetX': 0.5, 'cueOri': 180, 'congr': 1, 'corrAns': 'right'}
22.6765 	DATA 	Keypress: left
22.6858 	EXP 	fixation: autoDraw = False
22.6858 	EXP 	cue: autoDraw = False
22.6858 	EXP 	target: autoDraw = False
22.6858 	EXP 	cue: ori = 180.0
22.6858 	EXP 	target: pos = array([0.5, 0. ])
22.6858 	EXP 	fixation: autoDraw = True
23.6679 	EXP 	cue: autoDraw = True
23.6999 	EXP 	fixation: autoDraw = False
24.1664 	EXP 	target: autoDraw = True
24.1830 	EXP 	cue: autoDraw = False
24.3554 	EXP 	New trial (rep=0, index=1): {'targetX': 0.5, 'cueOri': 180, 'congr': 1, 'corrAns': 'right'}
24.3582 	DATA 	Keypress: right
24.3677 	EXP 	fixation: autoDraw = False
24.3677 	EXP 	cue: autoDraw = False
24.3677 	EXP 	target: autoDraw = False
24.3677 	EXP 	cue: ori = 180.0
24.3677 	EXP 	target: pos = array([0.5, 0. ])
24.3677 	EXP 	fixation: autoDraw = True
25.3499 	EXP 	cue: autoDraw = True
25.3831 	EXP 	fixation: autoDraw = False
25.8498 	EXP 	cue: autoDraw = False
25.8498 	EXP 	target: autoDraw = True
26.1386 	EXP 	New trial (rep=0, index=2): {'targetX': 0.5, 'cueOri': 0, 'congr': 0, 'corrAns': 'right'}
26.1416 	DATA 	Keypress: right
26.1507 	EXP 	fixation: autoDraw = False
26.1507 	EXP 	cue: autoDraw = False
26.1507 	EXP 	target: autoDraw = False
26.1507 	EXP 	cue: ori = 0.0
26.1507 	EXP 	target: pos = array([0.5, 0. ])
26.1507 	EXP 	fixation: autoDraw = True
27.1341 	EXP 	cue: autoDraw = True
27.1508 	EXP 	fixation: autoDraw = False
27.6338 	EXP 	cue: autoDraw = False
27.6338 	EXP 	target: autoDraw = True
27.8556 	DATA 	Keypress: left
27.8724 	EXP 	New trial (rep=0, index=3): {'targetX': -0.5, 'cueOri': 0, 'congr': 1, 'corrAns': 'left'}
27.8839 	EXP 	fixation: autoDraw = False
27.8839 	EXP 	cue: autoDraw = False
27.8839 	EXP 	target: autoDraw = False
27.8839 	EXP 	cue: ori = 0.0
27.8839 	EXP 	target: pos = array([-0.5,  0. ])
27.8839 	EXP 	fixation: autoDraw = True
28.8672 	EXP 	cue: autoDraw = True
28.8837 	EXP 	fixation: autoDraw = False
29.3674 	EXP 	cue: autoDraw = False
29.3674 	EXP 	target: autoDraw = True
29.5886 	DATA 	Keypress: left
29.6051 	EXP 	New trial (rep=0, index=4): {'targetX': -0.5, 'cueOri': 0, 'congr': 1, 'corrAns': 'left'}
29.6171 	EXP 	fixation: autoDraw = False
29.6171 	EXP 	cue: autoDraw = False
29.6171 	EXP 	target: autoDraw = False
29.6171 	EXP 	cue: ori = 0.0
29.6171 	EXP 	target: pos = array([-0.5,  0. ])
29.6171 	EXP 	fixation: autoDraw = True
30.6008 	EXP 	cue: autoDraw = True
30.6174 	EXP 	fixation: autoDraw = False
31.1007 	EXP 	cue: autoDraw = False
31.1007 	EXP 	target: autoDraw = True
31.3889 	EXP 	New trial (rep=0, index=5): {'targetX': 0.5, 'cueOri': 180, 'congr': 1, 'corrAns': 'right'}
31.3918 	DATA 	Keypress: left
31.4007 	EXP 	fixation: autoDraw = False
31.4007 	EXP 	cue: autoDraw = False
31.4007 	EXP 	target: autoDraw = False
31.4007 	EXP 	cue: ori = 180.0
31.4007 	EXP 	target: pos = array([0.5, 0. ])
31.4007 	EXP 	fixation: autoDraw = True
32.3837 	EXP 	cue: autoDraw = True
32.4008 	EXP 	fixation: autoDraw = False
32.8831 	EXP 	cue: autoDraw = False
32.8831 	EXP 	target: autoDraw = True
33.1554 	EXP 	New trial (rep=0, index=6): {'targetX': -0.5, 'cueOri': 180, 'congr': 0, 'corrAns': 'left'}
33.1582 	DATA 	Keypress: right
33.1676 	EXP 	fixation: autoDraw = False
33.1676 	EXP 	cue: autoDraw = False
33.1676 	EXP 	target: autoDraw = False
33.1676 	EXP 	cue: ori = 180.0
33.1676 	EXP 	target: pos = array([-0.5,  0. ])
33.1676 	EXP 	fixation: autoDraw = True
34.1510 	EXP 	cue: autoDraw = True
34.1666 	EXP 	fixation: autoDraw = False
34.6516 	EXP 	target: autoDraw = True
34.6667 	EXP 	cue: autoDraw = False
34.8551 	EXP 	New trial (rep=0, index=7): {'targetX': -0.5, 'cueOri': 0, 'congr': 1, 'corrAns': 'left'}
34.8582 	DATA 	Keypress: right
34.8842 	EXP 	fixation: autoDraw = False
34.8842 	EXP 	cue: autoDraw = False
34.8842 	EXP 	target: autoDraw = False
34.8842 	EXP 	cue: ori = 0.0
34.8842 	EXP 	target: pos = array([-0.5,  0. ])
34.8842 	EXP 	fixation: autoDraw = True
35.8501 	EXP 	cue: autoDraw = True
35.8834 	EXP 	fixation: autoDraw = False
36.3501 	EXP 	cue: autoDraw = False
36.3501 	EXP 	target: autoDraw = True
36.4932 	EXP 	window1: mouseVisible = True
