targetX,cueOri,congr,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,cue.started,cue.stopped,target.started,target.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
-0.5,0,1,left,0,0,0,4,7.692544199991971,8.691848899994511,8.591875799989793,9.091272499994375,9.091272499994375,None,left,1,0.47048519999952987,9.091272499994375,None,1,001,2019_Nov_22_1255,posner,3.2.4,60.20922706610703,
0.5,180,1,right,0,1,1,5,9.591075700009242,10.592096599983051,10.575991899997462,11.075418499996886,11.075418499996886,None,right,1,0.2395189999951981,11.075418499996886,None,1,001,2019_Nov_22_1255,posner,3.2.4,60.20922706610703,
-0.5,0,1,left,0,2,2,6,11.34230810002191,12.342438799969386,12.32555319997482,12.827503499982413,12.827503499982413,None,left,1,0.24322709999978542,12.827503499982413,None,1,001,2019_Nov_22_1255,posner,3.2.4,60.20922706610703,
0.5,180,1,right,0,3,3,7,13.110979899996892,14.11076020001201,14.077355000015814,14.577333799970802,14.577333799970802,None,right,1,0.18637110001873225,14.577333799970802,None,1,001,2019_Nov_22_1255,posner,3.2.4,60.20922706610703,
-0.5,0,1,left,0,4,4,0,14.794236099987756,15.794204299978446,15.777558900008444,16.277382000000216,16.277382000000216,None,left,1,0.07186039997031912,16.277382000000216,None,1,001,2019_Nov_22_1255,posner,3.2.4,60.20922706610703,
-0.5,180,0,left,0,5,5,8,16.377571300021373,17.377255100000184,17.360496399982367,17.85971889999928,17.85971889999928,None,left,1,0.5964973000227474,17.85971889999928,None,1,001,2019_Nov_22_1255,posner,3.2.4,60.20922706610703,
0.5,180,1,right,0,6,6,3,18.477243500004988,19.47622190002585,19.45958550000796,19.959681099979207,19.959681099979207,None,right,1,0.64469950000057,19.959681099979207,None,1,001,2019_Nov_22_1255,posner,3.2.4,60.20922706610703,
0.5,180,1,right,0,7,7,1,20.627244199975394,21.627832699974533,21.610609300027136,22.111106599972118,22.111106599972118,None,right,1,0.2506436000112444,22.111106599972118,None,1,001,2019_Nov_22_1255,posner,3.2.4,60.20922706610703,
0.5,0,0,right,0,8,8,9,22.377954000025056,23.37653110001702,23.360823999973945,23.860673499992117,23.860673499992117,None,left,0,0.18123600003309548,23.860673499992117,None,1,001,2019_Nov_22_1255,posner,3.2.4,60.20922706610703,
-0.5,0,1,left,0,9,9,2,24.05966139998054,25.06068489997415,25.042950199975166,25.544590800011065,25.544590800011065,None,left,1,0.3684480999945663,25.544590800011065,None,1,001,2019_Nov_22_1255,posner,3.2.4,60.20922706610703,
