6.1555 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
7.0838 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023F87084C18>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000023F87148908>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.0838 	EXP 	window1: recordFrameIntervals = False
7.2496 	EXP 	window1: recordFrameIntervals = True
7.4336 	EXP 	window1: recordFrameIntervals = False
7.6263 	EXP 	Created fixation = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='fixation', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
7.6298 	EXP 	Created cue = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='images/arrow-left.png', interpolate=True, mask=None, maskParams=None, name='cue', opacity=1.0, ori=1.0, pos=array([0., 0.]), size=array([0.2, 0.2]), texRes=128, units='height', win=Window(...))
7.6320 	EXP 	Created target = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='images/circle_red.png', interpolate=True, mask=None, maskParams=None, name='target', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.2, 0.2]), texRes=128, units='height', win=Window(...))
7.6323 	EXP 	Created sequence: random, trialTypes=10, nReps=1, seed=None
7.6326 	EXP 	New trial (rep=0, index=0): {'targetX': -0.5, 'cueOri': 0, 'congr': 1, 'corrAns': 'left'}
7.7286 	EXP 	cue: ori = 0.0
7.7286 	EXP 	target: pos = array([-0.5,  0. ])
7.7286 	EXP 	fixation: autoDraw = True
8.6162 	EXP 	cue: autoDraw = True
8.7332 	EXP 	fixation: autoDraw = False
9.1162 	EXP 	cue: autoDraw = False
9.1162 	EXP 	target: autoDraw = True
10.6024 	EXP 	New trial (rep=0, index=1): {'targetX': -0.5, 'cueOri': 0, 'congr': 1, 'corrAns': 'left'}
10.6157 	EXP 	target: autoDraw = False
10.6157 	EXP 	fixation: autoDraw = False
10.6157 	EXP 	cue: autoDraw = False
10.6157 	EXP 	target: autoDraw = False
10.6157 	EXP 	cue: ori = 0.0
10.6157 	EXP 	target: pos = array([-0.5,  0. ])
10.6157 	EXP 	fixation: autoDraw = True
11.5996 	EXP 	cue: autoDraw = True
11.6163 	EXP 	fixation: autoDraw = False
12.0996 	EXP 	cue: autoDraw = False
12.0996 	EXP 	target: autoDraw = True
12.4208 	EXP 	New trial (rep=0, index=2): {'targetX': -0.5, 'cueOri': 0, 'congr': 1, 'corrAns': 'left'}
12.4231 	DATA 	Keypress: left
12.4330 	EXP 	fixation: autoDraw = False
12.4330 	EXP 	cue: autoDraw = False
12.4330 	EXP 	target: autoDraw = False
12.4330 	EXP 	cue: ori = 0.0
12.4330 	EXP 	target: pos = array([-0.5,  0. ])
12.4330 	EXP 	fixation: autoDraw = True
13.4164 	EXP 	cue: autoDraw = True
13.4329 	EXP 	fixation: autoDraw = False
13.9176 	EXP 	cue: autoDraw = False
13.9176 	EXP 	target: autoDraw = True
14.1406 	EXP 	New trial (rep=0, index=3): {'targetX': 0.5, 'cueOri': 180, 'congr': 1, 'corrAns': 'right'}
14.1432 	DATA 	Keypress: left
14.1509 	EXP 	fixation: autoDraw = False
14.1509 	EXP 	cue: autoDraw = False
14.1509 	EXP 	target: autoDraw = False
14.1509 	EXP 	cue: ori = 180.0
14.1509 	EXP 	target: pos = array([0.5, 0. ])
14.1509 	EXP 	fixation: autoDraw = True
15.1343 	EXP 	cue: autoDraw = True
15.1514 	EXP 	fixation: autoDraw = False
15.6345 	EXP 	cue: autoDraw = False
15.6345 	EXP 	target: autoDraw = True
15.8721 	EXP 	New trial (rep=0, index=4): {'targetX': 0.5, 'cueOri': 180, 'congr': 1, 'corrAns': 'right'}
15.8745 	DATA 	Keypress: right
15.8844 	EXP 	fixation: autoDraw = False
15.8844 	EXP 	cue: autoDraw = False
15.8844 	EXP 	target: autoDraw = False
15.8844 	EXP 	cue: ori = 180.0
15.8844 	EXP 	target: pos = array([0.5, 0. ])
15.8844 	EXP 	fixation: autoDraw = True
16.8677 	EXP 	cue: autoDraw = True
16.8844 	EXP 	fixation: autoDraw = False
17.3669 	EXP 	cue: autoDraw = False
17.3669 	EXP 	target: autoDraw = True
17.3881 	EXP 	New trial (rep=0, index=5): {'targetX': -0.5, 'cueOri': 0, 'congr': 1, 'corrAns': 'left'}
17.3906 	DATA 	Keypress: right
17.4010 	EXP 	fixation: autoDraw = False
17.4010 	EXP 	cue: autoDraw = False
17.4010 	EXP 	target: autoDraw = False
17.4010 	EXP 	cue: ori = 0.0
17.4010 	EXP 	target: pos = array([-0.5,  0. ])
17.4010 	EXP 	fixation: autoDraw = True
18.3845 	EXP 	cue: autoDraw = True
18.4010 	EXP 	fixation: autoDraw = False
18.8844 	EXP 	cue: autoDraw = False
18.8844 	EXP 	target: autoDraw = True
19.1226 	EXP 	New trial (rep=0, index=6): {'targetX': 0.5, 'cueOri': 180, 'congr': 1, 'corrAns': 'right'}
19.1250 	DATA 	Keypress: left
19.1343 	EXP 	fixation: autoDraw = False
19.1343 	EXP 	cue: autoDraw = False
19.1343 	EXP 	target: autoDraw = False
19.1343 	EXP 	cue: ori = 180.0
19.1343 	EXP 	target: pos = array([0.5, 0. ])
19.1343 	EXP 	fixation: autoDraw = True
20.1177 	EXP 	cue: autoDraw = True
20.1344 	EXP 	fixation: autoDraw = False
20.6167 	EXP 	cue: autoDraw = False
20.6167 	EXP 	target: autoDraw = True
20.7063 	DATA 	Keypress: right
20.7214 	EXP 	New trial (rep=0, index=7): {'targetX': -0.5, 'cueOri': 180, 'congr': 0, 'corrAns': 'left'}
20.7344 	EXP 	fixation: autoDraw = False
20.7344 	EXP 	cue: autoDraw = False
20.7344 	EXP 	target: autoDraw = False
20.7344 	EXP 	cue: ori = 180.0
20.7344 	EXP 	target: pos = array([-0.5,  0. ])
20.7344 	EXP 	fixation: autoDraw = True
21.7176 	EXP 	cue: autoDraw = True
21.7343 	EXP 	fixation: autoDraw = False
22.2176 	EXP 	cue: autoDraw = False
22.2176 	EXP 	target: autoDraw = True
22.5225 	EXP 	New trial (rep=0, index=8): {'targetX': 0.5, 'cueOri': 0, 'congr': 0, 'corrAns': 'right'}
22.5246 	DATA 	Keypress: left
22.5345 	EXP 	fixation: autoDraw = False
22.5345 	EXP 	cue: autoDraw = False
22.5345 	EXP 	target: autoDraw = False
22.5345 	EXP 	cue: ori = 0.0
22.5345 	EXP 	target: pos = array([0.5, 0. ])
22.5345 	EXP 	fixation: autoDraw = True
23.5180 	EXP 	cue: autoDraw = True
23.5343 	EXP 	fixation: autoDraw = False
24.0178 	EXP 	cue: autoDraw = False
24.0178 	EXP 	target: autoDraw = True
24.2384 	EXP 	New trial (rep=0, index=9): {'targetX': 0.5, 'cueOri': 180, 'congr': 1, 'corrAns': 'right'}
24.2406 	DATA 	Keypress: left
