5.4574 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
6.3960 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F6633A0EB8>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001F663256BA8>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=1, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.3960 	EXP 	window1: recordFrameIntervals = False
6.5621 	EXP 	window1: recordFrameIntervals = True
6.7456 	EXP 	window1: recordFrameIntervals = False
6.9407 	EXP 	Created fixation = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='fixation', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
6.9437 	EXP 	Created cue = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='images/arrow-left.png', interpolate=True, mask=None, maskParams=None, name='cue', opacity=1.0, ori=1.0, pos=array([0., 0.]), size=array([0.2, 0.2]), texRes=128, units='height', win=Window(...))
6.9458 	EXP 	Created target = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='images/circle_red.png', interpolate=True, mask=None, maskParams=None, name='target', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.2, 0.2]), texRes=128, units='height', win=Window(...))
6.9707 	EXP 	Imported conditions.csv as conditions, 10 conditions, 4 params
6.9710 	EXP 	Created sequence: random, trialTypes=10, nReps=1, seed=None
6.9712 	EXP 	New trial (rep=0, index=0): OrderedDict([('targetX', -0.5), ('cueOri', 0), ('congr', 1), ('corrAns', 'left')])
7.0535 	EXP 	cue: ori = 0.0
7.0535 	EXP 	target: pos = array([-0.5,  0. ])
7.0535 	EXP 	fixation: autoDraw = True
7.9787 	EXP 	cue: autoDraw = True
8.0620 	EXP 	fixation: autoDraw = False
8.4136 	DATA 	Keypress: left
8.4787 	EXP 	cue: autoDraw = False
8.4787 	EXP 	target: autoDraw = True
9.1165 	EXP 	New trial (rep=0, index=1): OrderedDict([('targetX', -0.5), ('cueOri', 0), ('congr', 1), ('corrAns', 'left')])
9.1183 	DATA 	Keypress: left
9.1287 	EXP 	fixation: autoDraw = False
9.1287 	EXP 	cue: autoDraw = False
9.1287 	EXP 	target: autoDraw = False
9.1287 	EXP 	cue: ori = 0.0
9.1287 	EXP 	target: pos = array([-0.5,  0. ])
9.1287 	EXP 	fixation: autoDraw = True
10.1122 	EXP 	cue: autoDraw = True
10.1287 	EXP 	fixation: autoDraw = False
10.6125 	EXP 	cue: autoDraw = False
10.6125 	EXP 	target: autoDraw = True
10.9158 	EXP 	New trial (rep=0, index=2): OrderedDict([('targetX', -0.5), ('cueOri', 0), ('congr', 1), ('corrAns', 'left')])
10.9177 	DATA 	Keypress: left
10.9291 	EXP 	fixation: autoDraw = False
10.9291 	EXP 	cue: autoDraw = False
10.9291 	EXP 	target: autoDraw = False
