6.2174 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
7.1789 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000015E574A0F28>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000015E57199C18>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.1790 	EXP 	window1: recordFrameIntervals = False
7.3447 	EXP 	window1: recordFrameIntervals = True
7.5281 	EXP 	window1: recordFrameIntervals = False
7.7339 	EXP 	Created fixation = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='fixation', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
7.7375 	EXP 	Created cue = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='images/arrow-left.png', interpolate=True, mask=None, maskParams=None, name='cue', opacity=1.0, ori=1.0, pos=array([0., 0.]), size=array([0.2, 0.2]), texRes=128, units='height', win=Window(...))
7.7406 	EXP 	Created target = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='images/circle_red.png', interpolate=True, mask=None, maskParams=None, name='target', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.2, 0.2]), texRes=128, units='height', win=Window(...))
7.7723 	EXP 	Imported conditions.csv as conditions, 2 conditions, 4 params
7.7726 	EXP 	Created sequence: random, trialTypes=2, nReps=1, seed=None
7.7729 	EXP 	New trial (rep=0, index=0): OrderedDict([('targetX', 0.5), ('cueOri', 180), ('congr', 1), ('corrAns', 'right')])
7.8680 	EXP 	cue: ori = 180.0
7.8680 	EXP 	target: pos = array([0.5, 0. ])
7.8680 	EXP 	fixation: autoDraw = True
8.7779 	EXP 	cue: autoDraw = True
8.8779 	EXP 	fixation: autoDraw = False
9.2778 	EXP 	cue: autoDraw = False
9.2778 	EXP 	target: autoDraw = True
9.5826 	EXP 	New trial (rep=0, index=1): OrderedDict([('targetX', -0.5), ('cueOri', 0), ('congr', 1), ('corrAns', 'left')])
9.5864 	DATA 	Keypress: right
9.5945 	EXP 	fixation: autoDraw = False
9.5945 	EXP 	cue: autoDraw = False
9.5945 	EXP 	target: autoDraw = False
9.5945 	EXP 	cue: ori = 0.0
9.5945 	EXP 	target: pos = array([-0.5,  0. ])
9.5945 	EXP 	fixation: autoDraw = True
10.5777 	EXP 	cue: autoDraw = True
10.5945 	EXP 	fixation: autoDraw = False
11.0779 	EXP 	cue: autoDraw = False
11.0779 	EXP 	target: autoDraw = True
11.3532 	EXP 	Imported conditions.csv as conditions, 2 conditions, 4 params
11.3534 	EXP 	Created sequence: random, trialTypes=2, nReps=1, seed=None
11.3536 	EXP 	New trial (rep=0, index=0): OrderedDict([('targetX', 0.5), ('cueOri', 180), ('congr', 1), ('corrAns', 'right')])
11.3559 	DATA 	Keypress: left
11.3616 	EXP 	fixation: autoDraw = False
11.3616 	EXP 	cue: autoDraw = False
11.3616 	EXP 	target: autoDraw = False
11.3616 	EXP 	cue: ori = 180.0
11.3616 	EXP 	target: pos = array([0.5, 0. ])
11.3616 	EXP 	fixation: autoDraw = True
12.3449 	EXP 	cue: autoDraw = True
12.3619 	EXP 	fixation: autoDraw = False
12.8458 	EXP 	cue: autoDraw = False
12.8458 	EXP 	target: autoDraw = True
13.0672 	EXP 	New trial (rep=0, index=1): OrderedDict([('targetX', -0.5), ('cueOri', 0), ('congr', 1), ('corrAns', 'left')])
13.0698 	DATA 	Keypress: right
13.0791 	EXP 	fixation: autoDraw = False
13.0791 	EXP 	cue: autoDraw = False
13.0791 	EXP 	target: autoDraw = False
13.0791 	EXP 	cue: ori = 0.0
13.0791 	EXP 	target: pos = array([-0.5,  0. ])
13.0791 	EXP 	fixation: autoDraw = True
14.0633 	EXP 	cue: autoDraw = True
14.0800 	EXP 	fixation: autoDraw = False
14.5630 	EXP 	cue: autoDraw = False
14.5630 	EXP 	target: autoDraw = True
14.8230 	EXP 	window1: mouseVisible = True
