6.3537 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
7.3168 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F7AA9737F0>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001F7AABB1F98>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.3169 	EXP 	window1: recordFrameIntervals = False
7.4829 	EXP 	window1: recordFrameIntervals = True
7.6662 	EXP 	window1: recordFrameIntervals = False
7.8564 	EXP 	Created fixation = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='fixation', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
7.8598 	EXP 	Created cue = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='images/arrow-left.png', interpolate=True, mask=None, maskParams=None, name='cue', opacity=1.0, ori=1.0, pos=array([0., 0.]), size=array([0.2, 0.2]), texRes=128, units='height', win=Window(...))
7.8629 	EXP 	Created target = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='images/circle_red.png', interpolate=True, mask=None, maskParams=None, name='target', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.2, 0.2]), texRes=128, units='height', win=Window(...))
7.8635 	EXP 	Created sequence: random, trialTypes=2, nReps=1, seed=None
7.8637 	EXP 	New trial (rep=0, index=0): OrderedDict([('targetX', 0.5), ('cueOri', 180), ('congr', 1), ('corrAns', 'right')])
7.9565 	EXP 	cue: ori = 180.0
7.9565 	EXP 	target: pos = array([0.5, 0. ])
7.9565 	EXP 	fixation: autoDraw = True
8.8657 	EXP 	cue: autoDraw = True
8.9661 	EXP 	fixation: autoDraw = False
9.3658 	EXP 	cue: autoDraw = False
9.3658 	EXP 	target: autoDraw = True
9.4211 	EXP 	New trial (rep=0, index=1): OrderedDict([('targetX', -0.5), ('cueOri', 0), ('congr', 1), ('corrAns', 'left')])
9.4232 	DATA 	Keypress: right
9.4324 	EXP 	fixation: autoDraw = False
9.4324 	EXP 	cue: autoDraw = False
9.4324 	EXP 	target: autoDraw = False
9.4324 	EXP 	cue: ori = 0.0
9.4324 	EXP 	target: pos = array([-0.5,  0. ])
9.4324 	EXP 	fixation: autoDraw = True
10.4156 	EXP 	cue: autoDraw = True
10.4323 	EXP 	fixation: autoDraw = False
10.9162 	EXP 	cue: autoDraw = False
10.9162 	EXP 	target: autoDraw = True
11.1382 	EXP 	Created sequence: random, trialTypes=2, nReps=1, seed=None
11.1385 	EXP 	New trial (rep=0, index=0): OrderedDict([('targetX', 0.5), ('cueOri', 180), ('congr', 1), ('corrAns', 'right')])
11.1414 	DATA 	Keypress: left
11.1495 	EXP 	fixation: autoDraw = False
11.1495 	EXP 	cue: autoDraw = False
11.1495 	EXP 	target: autoDraw = False
11.1495 	EXP 	cue: ori = 180.0
11.1495 	EXP 	target: pos = array([0.5, 0. ])
11.1495 	EXP 	fixation: autoDraw = True
12.1329 	EXP 	cue: autoDraw = True
12.1495 	EXP 	fixation: autoDraw = False
12.6328 	EXP 	cue: autoDraw = False
12.6328 	EXP 	target: autoDraw = True
12.7387 	DATA 	Keypress: right
12.7549 	EXP 	New trial (rep=0, index=1): OrderedDict([('targetX', -0.5), ('cueOri', 0), ('congr', 1), ('corrAns', 'left')])
12.7662 	EXP 	fixation: autoDraw = False
12.7662 	EXP 	cue: autoDraw = False
12.7662 	EXP 	target: autoDraw = False
12.7662 	EXP 	cue: ori = 0.0
12.7662 	EXP 	target: pos = array([-0.5,  0. ])
12.7662 	EXP 	fixation: autoDraw = True
13.7515 	EXP 	cue: autoDraw = True
13.7678 	EXP 	fixation: autoDraw = False
14.2510 	EXP 	cue: autoDraw = False
14.2510 	EXP 	target: autoDraw = True
14.3545 	DATA 	Keypress: left
14.3727 	EXP 	Created sequence: random, trialTypes=2, nReps=1, seed=None
14.3730 	EXP 	New trial (rep=0, index=0): OrderedDict([('targetX', -0.5), ('cueOri', 0), ('congr', 1), ('corrAns', 'left')])
14.3843 	EXP 	fixation: autoDraw = False
14.3843 	EXP 	cue: autoDraw = False
14.3843 	EXP 	target: autoDraw = False
14.3843 	EXP 	cue: ori = 0.0
14.3843 	EXP 	target: pos = array([-0.5,  0. ])
14.3843 	EXP 	fixation: autoDraw = True
15.3680 	EXP 	cue: autoDraw = True
15.3842 	EXP 	fixation: autoDraw = False
15.8678 	EXP 	cue: autoDraw = False
15.8678 	EXP 	target: autoDraw = True
15.8875 	EXP 	New trial (rep=0, index=1): OrderedDict([('targetX', 0.5), ('cueOri', 180), ('congr', 1), ('corrAns', 'right')])
15.8901 	DATA 	Keypress: left
15.9012 	EXP 	fixation: autoDraw = False
15.9012 	EXP 	cue: autoDraw = False
15.9012 	EXP 	target: autoDraw = False
15.9012 	EXP 	cue: ori = 180.0
15.9012 	EXP 	target: pos = array([0.5, 0. ])
15.9012 	EXP 	fixation: autoDraw = True
16.8835 	EXP 	cue: autoDraw = True
16.9176 	EXP 	fixation: autoDraw = False
17.3844 	EXP 	cue: autoDraw = False
17.3844 	EXP 	target: autoDraw = True
17.4235 	EXP 	Created sequence: random, trialTypes=2, nReps=1, seed=None
17.4237 	EXP 	New trial (rep=0, index=0): OrderedDict([('targetX', 0.5), ('cueOri', 180), ('congr', 1), ('corrAns', 'right')])
17.4270 	DATA 	Keypress: right
17.4359 	EXP 	fixation: autoDraw = False
17.4359 	EXP 	cue: autoDraw = False
17.4359 	EXP 	target: autoDraw = False
17.4359 	EXP 	cue: ori = 180.0
17.4359 	EXP 	target: pos = array([0.5, 0. ])
17.4359 	EXP 	fixation: autoDraw = True
18.4169 	EXP 	cue: autoDraw = True
18.4509 	EXP 	fixation: autoDraw = False
18.9176 	EXP 	cue: autoDraw = False
18.9176 	EXP 	target: autoDraw = True
18.9398 	EXP 	New trial (rep=0, index=1): OrderedDict([('targetX', -0.5), ('cueOri', 0), ('congr', 1), ('corrAns', 'left')])
18.9420 	DATA 	Keypress: right
18.9514 	EXP 	fixation: autoDraw = False
18.9514 	EXP 	cue: autoDraw = False
18.9514 	EXP 	target: autoDraw = False
18.9514 	EXP 	cue: ori = 0.0
18.9514 	EXP 	target: pos = array([-0.5,  0. ])
18.9514 	EXP 	fixation: autoDraw = True
19.9349 	EXP 	cue: autoDraw = True
19.9510 	EXP 	fixation: autoDraw = False
20.4345 	EXP 	cue: autoDraw = False
20.4345 	EXP 	target: autoDraw = True
20.5215 	EXP 	Created sequence: random, trialTypes=2, nReps=1, seed=None
20.5218 	EXP 	New trial (rep=0, index=0): OrderedDict([('targetX', 0.5), ('cueOri', 180), ('congr', 1), ('corrAns', 'right')])
20.5241 	DATA 	Keypress: left
20.5343 	EXP 	fixation: autoDraw = False
20.5343 	EXP 	cue: autoDraw = False
20.5343 	EXP 	target: autoDraw = False
20.5343 	EXP 	cue: ori = 180.0
20.5343 	EXP 	target: pos = array([0.5, 0. ])
20.5343 	EXP 	fixation: autoDraw = True
21.5181 	EXP 	cue: autoDraw = True
21.5346 	EXP 	fixation: autoDraw = False
22.0177 	EXP 	cue: autoDraw = False
22.0177 	EXP 	target: autoDraw = True
22.0240 	EXP 	New trial (rep=0, index=1): OrderedDict([('targetX', -0.5), ('cueOri', 0), ('congr', 1), ('corrAns', 'left')])
22.0270 	DATA 	Keypress: right
22.0356 	EXP 	fixation: autoDraw = False
22.0356 	EXP 	cue: autoDraw = False
22.0356 	EXP 	target: autoDraw = False
22.0356 	EXP 	cue: ori = 0.0
22.0356 	EXP 	target: pos = array([-0.5,  0. ])
22.0356 	EXP 	fixation: autoDraw = True
23.0182 	EXP 	cue: autoDraw = True
23.0347 	EXP 	fixation: autoDraw = False
23.5177 	EXP 	cue: autoDraw = False
23.5177 	EXP 	target: autoDraw = True
23.6888 	EXP 	Created sequence: random, trialTypes=2, nReps=1, seed=None
23.6891 	EXP 	New trial (rep=0, index=0): OrderedDict([('targetX', 0.5), ('cueOri', 180), ('congr', 1), ('corrAns', 'right')])
23.6911 	DATA 	Keypress: left
23.7012 	EXP 	fixation: autoDraw = False
23.7012 	EXP 	cue: autoDraw = False
23.7012 	EXP 	target: autoDraw = False
23.7012 	EXP 	cue: ori = 180.0
23.7012 	EXP 	target: pos = array([0.5, 0. ])
23.7012 	EXP 	fixation: autoDraw = True
24.6841 	EXP 	cue: autoDraw = True
24.7009 	EXP 	fixation: autoDraw = False
25.1846 	EXP 	cue: autoDraw = False
25.1846 	EXP 	target: autoDraw = True
25.2733 	EXP 	New trial (rep=0, index=1): OrderedDict([('targetX', -0.5), ('cueOri', 0), ('congr', 1), ('corrAns', 'left')])
25.2767 	DATA 	Keypress: right
25.2859 	EXP 	fixation: autoDraw = False
25.2859 	EXP 	cue: autoDraw = False
25.2859 	EXP 	target: autoDraw = False
25.2859 	EXP 	cue: ori = 0.0
25.2859 	EXP 	target: pos = array([-0.5,  0. ])
25.2859 	EXP 	fixation: autoDraw = True
26.2678 	EXP 	cue: autoDraw = True
26.3010 	EXP 	fixation: autoDraw = False
26.7376 	DATA 	Keypress: left
26.7678 	EXP 	cue: autoDraw = False
26.7678 	EXP 	target: autoDraw = True
27.2061 	EXP 	Created sequence: random, trialTypes=2, nReps=1, seed=None
27.2063 	EXP 	New trial (rep=0, index=0): OrderedDict([('targetX', -0.5), ('cueOri', 0), ('congr', 1), ('corrAns', 'left')])
27.2092 	DATA 	Keypress: left
27.2184 	EXP 	fixation: autoDraw = False
27.2184 	EXP 	cue: autoDraw = False
27.2184 	EXP 	target: autoDraw = False
27.2184 	EXP 	cue: ori = 0.0
27.2184 	EXP 	target: pos = array([-0.5,  0. ])
27.2184 	EXP 	fixation: autoDraw = True
28.2012 	EXP 	cue: autoDraw = True
28.2178 	EXP 	fixation: autoDraw = False
28.7010 	EXP 	cue: autoDraw = False
28.7010 	EXP 	target: autoDraw = True
