targetX,cueOri,congr,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,cue.started,cue.stopped,target.started,target.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
-0.5,0,1,left,0,0,0,2,7.673511500004679,8.68593559996225,8.585676999995485,9.085694199951831,9.069097900006454,None,left,1,0.36543130001518875,9.069097900006454,None,1,001,2019_Nov_22_1246,posner,3.2.4,59.93486278355353,
-0.5,0,1,left,0,1,1,4,9.452328499988653,10.452939399983734,10.436837399960496,10.936402199964505,10.936402199964505,None,left,1,0.29140390001703054,10.936402199964505,None,1,001,2019_Nov_22_1246,posner,3.2.4,59.93486278355353,
-0.5,0,1,left,0,2,2,0,11.252821300004143,12.253053599968553,12.236263400001917,12.736213299969677,12.736213299969677,None,left,1,0.2932571999845095,12.736213299969677,None,1,001,2019_Nov_22_1246,posner,3.2.4,59.93486278355353,
-0.5,180,0,left,0,3,3,8,13.05282649997389,14.054137600003742,14.037593199987896,14.537503100000322,14.537503100000322,None,left,1,0.5058121999609284,14.537503100000322,None,1,001,2019_Nov_22_1246,posner,3.2.4,59.93486278355353,
0.5,180,1,right,0,4,4,3,15.070804499962833,16.0708403000026,16.05415359995095,16.55423619999783,16.55423619999783,None,right,1,0.27265950001310557,16.55423619999783,None,1,001,2019_Nov_22_1246,posner,3.2.4,59.93486278355353,
0.5,180,1,right,0,5,5,5,16.855152299976908,17.85527329996694,17.83872199995676,18.33863879996352,18.33863879996352,None,right,1,0.29081760003464296,18.33863879996352,None,1,001,2019_Nov_22_1246,posner,3.2.4,59.93486278355353,
-0.5,0,1,left,0,6,6,6,18.67184579995228,19.672183399961796,19.639097100007348,20.13890929997433,20.13890929997433,None,left,1,0.15141329995822161,20.13890929997433,None,1,001,2019_Nov_22_1246,posner,3.2.4,59.93486278355353,
0.5,180,1,right,0,7,7,1,20.304937899985816,21.305677099968307,21.289309999963734,21.78933669999242,21.78933669999242,None,right,1,0.2505176000413485,21.78933669999242,None,1,001,2019_Nov_22_1246,posner,3.2.4,59.93486278355353,
0.5,0,0,right,0,8,8,9,22.054977899999358,23.055816899985075,23.039197999984026,23.538966799969785,23.538966799969785,None,right,1,0.49568209995049983,23.538966799969785,None,1,001,2019_Nov_22_1246,posner,3.2.4,59.93486278355353,
0.5,180,1,right,0,9,9,7,24.055473599990364,25.055178799957503,25.038552599959075,25.53928949998226,25.53928949998226,None,right,1,0.22001049999380484,25.53928949998226,None,1,001,2019_Nov_22_1246,posner,3.2.4,59.93486278355353,
