5.0746 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
5.9707 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026CF6101EB8>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000026CF5DF9BA8>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.9708 	EXP 	window1: recordFrameIntervals = False
6.1366 	EXP 	window1: recordFrameIntervals = True
6.3204 	EXP 	window1: recordFrameIntervals = False
6.5020 	EXP 	Created fixation = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='fixation', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
6.5055 	EXP 	Created cue = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='images/arrow-left.png', interpolate=True, mask=None, maskParams=None, name='cue', opacity=1.0, ori=1.0, pos=array([0., 0.]), size=array([0.2, 0.2]), texRes=128, units='height', win=Window(...))
6.5081 	EXP 	Created target = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='images/circle_red.png', interpolate=True, mask=None, maskParams=None, name='target', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.2, 0.2]), texRes=128, units='height', win=Window(...))
6.5695 	EXP 	Imported conditions.csv as conditions, 10 conditions, 4 params
6.5698 	EXP 	Created sequence: random, trialTypes=10, nReps=1, seed=None
6.5700 	EXP 	New trial (rep=0, index=0): OrderedDict([('targetX', -0.5), ('cueOri', 0), ('congr', 1), ('corrAns', 'left')])
6.6518 	EXP 	cue: ori = 0.0
6.6518 	EXP 	target: pos = array([-0.5,  0. ])
6.6518 	EXP 	fixation: autoDraw = True
7.5697 	EXP 	cue: autoDraw = True
7.6532 	EXP 	fixation: autoDraw = False
7.9399 	DATA 	Keypress: left
8.0701 	EXP 	cue: autoDraw = False
8.0701 	EXP 	target: autoDraw = True
9.2586 	EXP 	New trial (rep=0, index=1): OrderedDict([('targetX', -0.5), ('cueOri', 0), ('congr', 1), ('corrAns', 'left')])
9.2610 	DATA 	Keypress: left
9.2702 	EXP 	fixation: autoDraw = False
9.2702 	EXP 	cue: autoDraw = False
9.2702 	EXP 	target: autoDraw = False
9.2702 	EXP 	cue: ori = 0.0
9.2702 	EXP 	target: pos = array([-0.5,  0. ])
9.2702 	EXP 	fixation: autoDraw = True
10.2532 	EXP 	cue: autoDraw = True
10.2698 	EXP 	fixation: autoDraw = False
10.7535 	EXP 	cue: autoDraw = False
10.7535 	EXP 	target: autoDraw = True
11.0757 	EXP 	New trial (rep=0, index=2): OrderedDict([('targetX', 0.5), ('cueOri', 180), ('congr', 1), ('corrAns', 'right')])
11.0777 	DATA 	Keypress: left
11.0868 	EXP 	fixation: autoDraw = False
11.0868 	EXP 	cue: autoDraw = False
11.0868 	EXP 	target: autoDraw = False
11.0868 	EXP 	cue: ori = 180.0
11.0868 	EXP 	target: pos = array([0.5, 0. ])
11.0868 	EXP 	fixation: autoDraw = True
12.0707 	EXP 	cue: autoDraw = True
12.0868 	EXP 	fixation: autoDraw = False
12.5701 	EXP 	cue: autoDraw = False
12.5701 	EXP 	target: autoDraw = True
12.7748 	EXP 	New trial (rep=0, index=3): OrderedDict([('targetX', -0.5), ('cueOri', 180), ('congr', 0), ('corrAns', 'left')])
12.7771 	DATA 	Keypress: right
12.7868 	EXP 	fixation: autoDraw = False
12.7868 	EXP 	cue: autoDraw = False
12.7868 	EXP 	target: autoDraw = False
12.7868 	EXP 	cue: ori = 180.0
12.7868 	EXP 	target: pos = array([-0.5,  0. ])
12.7868 	EXP 	fixation: autoDraw = True
13.7718 	EXP 	cue: autoDraw = True
13.7887 	EXP 	fixation: autoDraw = False
13.8906 	DATA 	Keypress: left
14.2719 	EXP 	cue: autoDraw = False
14.2719 	EXP 	target: autoDraw = True
14.7751 	DATA 	Keypress: left
14.7926 	EXP 	New trial (rep=0, index=4): OrderedDict([('targetX', 0.5), ('cueOri', 180), ('congr', 1), ('corrAns', 'right')])
14.8042 	EXP 	fixation: autoDraw = False
14.8042 	EXP 	cue: autoDraw = False
14.8042 	EXP 	target: autoDraw = False
14.8042 	EXP 	cue: ori = 180.0
14.8042 	EXP 	target: pos = array([0.5, 0. ])
14.8042 	EXP 	fixation: autoDraw = True
15.7885 	EXP 	cue: autoDraw = True
15.8052 	EXP 	fixation: autoDraw = False
16.2886 	EXP 	cue: autoDraw = False
16.2886 	EXP 	target: autoDraw = True
16.4429 	EXP 	New trial (rep=0, index=5): OrderedDict([('targetX', -0.5), ('cueOri', 0), ('congr', 1), ('corrAns', 'left')])
16.4453 	DATA 	Keypress: right
16.4552 	EXP 	fixation: autoDraw = False
16.4552 	EXP 	cue: autoDraw = False
16.4552 	EXP 	target: autoDraw = False
