targetX,cueOri,congr,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,cue.started,cue.stopped,target.started,target.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-0.5,0,1,left,0,0,0,4,7.728597600013018,8.733220399997663,8.61615170002915,9.116191699984483,9.116191699984483,None,None,0,9.116191699984483,None,,111,001,2019_Nov_22_1850,posner,3.2.4,60.381222888547605,
-0.5,0,1,left,0,1,1,2,10.61571169999661,11.616275699983817,11.599611999990884,12.099580199981574,12.099580199981574,10.61571169999661,left,1,12.099580199981574,10.61571169999661,0.3163391000125557,111,001,2019_Nov_22_1850,posner,3.2.4,60.381222888547605,
-0.5,0,1,left,0,2,2,6,12.432989499997348,13.432883700006641,13.416419100016356,13.9176438000286,13.9176438000286,None,left,1,13.9176438000286,None,0.21661269996548072,111,001,2019_Nov_22_1850,posner,3.2.4,60.381222888547605,
0.5,180,1,right,0,3,3,7,14.150873899983708,15.151385300036054,15.134298500022851,15.634455899999011,15.634455899999011,None,right,1,15.634455899999011,None,0.23016470001311973,111,001,2019_Nov_22_1850,posner,3.2.4,60.381222888547605,
0.5,180,1,right,0,4,4,1,15.884381700016093,16.884425800002646,16.86771810002392,17.366868300014175,17.366868300014175,None,right,1,17.366868300014175,None,0.014949599979445338,111,001,2019_Nov_22_1850,posner,3.2.4,60.381222888547605,
-0.5,0,1,left,0,5,5,0,17.401048800034914,18.40099440002814,18.384475900034886,18.88444850000087,18.88444850000087,None,left,1,18.88444850000087,None,0.22240440000314265,111,001,2019_Nov_22_1850,posner,3.2.4,60.381222888547605,
0.5,180,1,right,0,6,6,5,19.13429509999696,20.134386499994434,20.117697999987286,20.61674949998269,20.61674949998269,None,right,1,20.61674949998269,None,0.08902369998395443,111,001,2019_Nov_22_1850,posner,3.2.4,60.381222888547605,
-0.5,180,0,left,0,7,7,8,20.734384200011846,21.734257700038143,21.717626500001643,22.217594799993094,22.217594799993094,None,left,1,22.217594799993094,None,0.2956370000028983,111,001,2019_Nov_22_1850,posner,3.2.4,60.381222888547605,
0.5,0,0,right,0,8,8,9,22.534463300020434,23.534346400003415,23.51799060002668,24.017762000032235,24.017762000032235,None,left,0,24.017762000032235,None,0.21304400003282353,111,001,2019_Nov_22_1850,posner,3.2.4,60.381222888547605,
0.5,180,1,right,0,9,9,3,24.250958700024057,25.25099189998582,25.234493000025395,25.734258599986788,25.734258599986788,None,right,1,25.734258599986788,None,0.234710399992764,111,001,2019_Nov_22_1850,posner,3.2.4,60.381222888547605,
-0.5,0,1,left,0,0,0,6,25.985158700030297,26.984513000003062,26.96778110001469,27.46773989999201,27.46773989999201,None,left,1,27.46773989999201,None,0.20728329999838024,111,001,2019_Nov_22_1850,posner,3.2.4,60.381222888547605,
0.5,180,1,right,0,1,1,3,27.702558899996802,28.71800870000152,28.684272399987094,29.18437360000098,29.18437360000098,None,right,1,29.18437360000098,None,0.18064490001415834,111,001,2019_Nov_22_1850,posner,3.2.4,60.381222888547605,
0.5,180,1,right,0,2,2,7,29.38482480001403,30.384161600028165,30.367661399999633,30.867618100019172,30.867618100019172,None,right,1,30.867618100019172,None,0.48031620000256225,111,001,2019_Nov_22_1850,posner,3.2.4,60.381222888547605,
0.5,180,1,right,0,3,3,1,31.36773749999702,32.367629799991846,32.35095930000534,32.85100170003716,32.85100170003716,None,right,1,32.85100170003716,None,0.2538520999951288,111,001,2019_Nov_22_1850,posner,3.2.4,60.381222888547605,
-0.5,0,1,left,0,4,4,2,33.13445579999825,34.13449910003692,34.11769039998762,34.61786709999433,34.61786709999433,None,left,1,34.61786709999433,None,0.028145499993115664,111,001,2019_Nov_22_1850,posner,3.2.4,60.381222888547605,
-0.5,0,1,left,0,5,5,4,34.66773240000475,35.66825990000507,35.65110280003864,36.15078790002735,36.15078790002735,None,left,1,36.15078790002735,None,0.02590589999454096,111,001,2019_Nov_22_1850,posner,3.2.4,60.381222888547605,
-0.5,0,1,left,0,6,6,0,36.20182300003944,37.20106480002869,37.184532699990086,37.684421800018754,37.684421800018754,None,left,1,37.684421800018754,None,0.2035323999589309,111,001,2019_Nov_22_1850,posner,3.2.4,60.381222888547605,
-0.5,180,0,left,0,7,7,8,37.91787350003142,38.917740000004414,38.901751500030514,39.40086140000494,39.40086140000494,None,right,0,39.40086140000494,None,0.05932780000148341,111,001,2019_Nov_22_1850,posner,3.2.4,60.381222888547605,
0.5,180,1,right,0,8,8,5,39.48441790003562,40.484786099987105,40.467951100028586,40.96780779998517,40.96780779998517,None,right,1,40.96780779998517,None,0.06454319995827973,111,001,2019_Nov_22_1850,posner,3.2.4,60.381222888547605,
0.5,0,0,right,0,9,9,9,41.05117460002657,42.05084270000225,42.03430689999368,42.53431900002761,42.53431900002761,None,left,0,42.53431900002761,None,0.020052700012456626,111,001,2019_Nov_22_1850,posner,3.2.4,60.381222888547605,
