5.6402 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
6.6872 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000015FB60E2C88>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000015FB5F9F978>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.6872 	EXP 	window1: recordFrameIntervals = False
6.8534 	EXP 	window1: recordFrameIntervals = True
7.0367 	EXP 	window1: recordFrameIntervals = False
7.2445 	EXP 	Created fixation = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='fixation', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
7.2484 	EXP 	Created cue = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='images/arrow-left.png', interpolate=True, mask=None, maskParams=None, name='cue', opacity=1.0, ori=1.0, pos=array([0., 0.]), size=array([0.2, 0.2]), texRes=128, units='height', win=Window(...))
7.2515 	EXP 	Created target = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='images/circle_red.png', interpolate=True, mask=None, maskParams=None, name='target', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.2, 0.2]), texRes=128, units='height', win=Window(...))
7.2728 	EXP 	Sound sound_1 set volume 1.000
7.2732 	EXP 	Created sequence: random, trialTypes=8, nReps=1, seed=None
7.2741 	EXP 	New trial (rep=0, index=0): {'targetX': -0.5, 'cueOri': 0, 'congr': 1, 'corrAns': 'left'}
7.3763 	EXP 	cue: ori = 0.0
7.3763 	EXP 	target: pos = array([-0.5,  0. ])
7.3763 	EXP 	fixation: autoDraw = True
8.2694 	EXP 	cue: autoDraw = True
8.3862 	EXP 	fixation: autoDraw = False
8.7697 	EXP 	cue: autoDraw = False
8.7697 	EXP 	target: autoDraw = True
9.2243 	DATA 	Keypress: left
9.2409 	EXP 	New trial (rep=0, index=1): {'targetX': 0.5, 'cueOri': 180, 'congr': 1, 'corrAns': 'right'}
9.2532 	EXP 	fixation: autoDraw = False
9.2532 	EXP 	cue: autoDraw = False
9.2532 	EXP 	target: autoDraw = False
9.2532 	EXP 	cue: ori = 180.0
9.2532 	EXP 	target: pos = array([0.5, 0. ])
9.2532 	EXP 	fixation: autoDraw = True
10.2363 	EXP 	cue: autoDraw = True
10.2528 	EXP 	fixation: autoDraw = False
10.7374 	EXP 	cue: autoDraw = False
10.7374 	EXP 	target: autoDraw = True
10.7463 	EXP 	New trial (rep=0, index=2): {'targetX': -0.5, 'cueOri': 0, 'congr': 1, 'corrAns': 'left'}
